yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
28342024,2834,2024,FL0320000,FL0320000,,N,N,,I,JACKSON,JACKSON CO SO MARIANNA,Jackson,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,County,37457,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,61,3,64,6,20,26,1.8,2.4,2021-01-01,2023-12-01,2023-12-01,2023-12-01,2023-12-01,2023-12-01,N,JACKSON,Not Specified,Y,Y,Y
28352024,2835,2024,FL0320100,FL0320100,,N,N,,I,MARIANNA,MARIANNA PD,Marianna,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,7670,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2021-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,N,JACKSON,Not Specified,Y,Y,Y
28512024,2851,2024,FL0330000,FL0330000,,N,N,,I,JEFFERSON,JEFFERSON CO SO MONTICELLO,Jefferson,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,County,13342,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,24,17,41,4,14,18,2.1,4.4,2021-01-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,N,JEFFERSON,"Tallahassee, FL",Y,Y,Y
28762024,2876,2024,FL0350200,FL0350200,,N,N,,I,LEESBURG,LEESBURG PD,Leesburg,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,33435,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,64,5,69,4,29,33,2.0,3.1,2021-01-01,2021-01-01,2022-11-01,2022-11-01,2022-11-01,2022-11-01,N,LAKE,"Orlando-Kissimmee-Sanford, FL",Y,Y,Y
29012024,2901,2024,FL0360200,FL0360200,,N,N,,I,CAPE CORAL,CAPE CORAL PD,Cape Coral,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,235076,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,232,16,248,53,74,127,1.2,1.6,2021-01-01,2022-01-01,2023-02-01,2023-02-01,2023-02-01,2023-02-01,N,LEE,"Cape Coral-Fort Myers, FL",Y,Y,Y
29172024,2917,2024,FL0370000,FL0370000,,N,N,,I,LEON,LEON CO SOTALLAHASSEE,Leon,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,County,99452,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,245,52,297,37,89,126,2.8,4.3,2021-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-01-01,N,LEON,"Tallahassee, FL",Y,Y,Y
29202024,2920,2024,FL0370300,FL0370300,,N,N,,I,TALLAHASSEE,TALLAHASSEE PD,Tallahassee,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,City,203672,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,293,42,335,69,73,142,1.8,2.3,2021-01-01,2022-01-01,2022-10-01,2022-10-01,2022-10-01,2022-10-01,N,LEON,"Tallahassee, FL",Y,Y,Y
29232024,2923,2024,FL0370600,FL0370600,,N,N,,I,FL ST UNIV: TALLAHASSEE,FLORIDA STATE UNIVERSITY PDTALLAHASSEE,Florida State University:,Tallahassee,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,University or College,0,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,49,25,74,10,24,34,0,0,2021-01-01,2022-06-01,2023-04-01,2023-04-01,2023-04-01,2023-04-01,N,LEON,"Tallahassee, FL",Y,Y,Y
29242024,2924,2024,FL0370700,FL0370700,,N,N,,I,FLORIDA A&M UNIVERSITY,FLORIDA A & M UNIVERSITY PDTALLAHASSEE,Florida A&M University,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,University or College,0,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,15,2,17,4,5,9,0,0,2021-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,N,LEON,"Tallahassee, FL",Y,Y,Y
29442024,2944,2024,FL0380000,FL0380000,,N,N,,I,LEVY,LEVY CO SO BRONSON,Levy,,A,12,Florida,FL,FL,5,South Atlantic,3,South,Region III,County,42128,23362,FLUCR0001,Florida Department of Law Enforcement Uniform Crime Reports Program,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,N,,,,,,,,,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,LEVY,"Gainesville, FL",Y,Y,Y
